lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh,market
12,184,226.6,0.14557948315188862,0.09425170002504285,0.02835097094542105,0.01554069368638419,0.270775471816209,0.026,0.12636307703323627,0.3543871368177631,us_sefp02
13,184,225.9,-0.10805104786250821,-0.039317293059274526,0.105303304249593,-0.2352521165123488,0.022789095581421583,0.106,0.12808000793859542,0.5882931567203611,us_sefp02
14,184,222.8,0.01262487802306809,0.031178362967386485,0.8515041442058466,-0.11899879042090655,0.14381247949350803,0.85,0.12664919070389857,0.93927031579384,us_sefp02
15,184,222.6,0.004647140326355457,0.0398431931575196,0.9450966429025527,-0.12692891690090863,0.13606248562593767,0.942,0.12970290619983293,0.9450966429025527,us_sefp02
16,184,222.2,-0.00834241763450566,0.04403883569956271,0.9016995031620865,-0.13980606148669522,0.1234102390967824,0.903,0.12991526457630836,0.93927031579384,us_sefp02
17,184,228.7,0.01126409615744415,-0.003118799483731772,0.8656175977931486,-0.1186406837604303,0.14078976852105485,0.865,0.12533023029188525,0.93927031579384,us_sefp02
18,184,236.4,0.09233044844885087,0.1071256573751228,0.15717470920286747,-0.03568115967540167,0.21736107765897156,0.174,0.12408403324445662,0.5882931567203611,us_sefp02
19,184,231.0,-0.04059081402263396,-0.027681994182350556,0.5396969555067366,-0.16878103219714352,0.08894971717652587,0.531,0.1305910213021918,0.93927031579384,us_sefp02
20,184,221.0,0.02807413939673882,0.006422530870143129,0.6784084796341843,-0.10428043534382041,0.15945161474355682,0.664,0.1312311845283848,0.93927031579384,us_sefp02
21,184,222.9,-0.059279456336394476,-0.013802469611450367,0.3788589841272012,-0.18922710384949182,0.07270883332527672,0.37,0.12980358307676623,0.8610431457436392,us_sefp02
22,184,224.2,0.10034145920195925,0.09549613762015757,0.13426433886164846,-0.03108527268606113,0.2283574163314618,0.118,0.12982552565596492,0.5882931567203611,us_sefp02
23,184,225.3,-0.03239405764379111,-0.014861975303885496,0.6289618076204035,-0.16240339918062774,0.09872083264327976,0.642,0.12322319324877892,0.93927031579384,us_sefp02
24,184,224.7,0.0323381188822187,0.05144381730269114,0.6300078411323997,-0.09894863797868862,0.16251834093521927,0.649,0.12572620017521915,0.93927031579384,us_sefp02
0,120,99.1,-0.06338481307839268,-0.02308493645392041,0.5338720896027915,-0.2575078407762155,0.13565615305666312,0.545,0.2086036489294947,0.6196848582356685,eu_usd
1,120,98.3,-0.040297924409765436,0.017792902284880893,0.6939077227405328,-0.23655401937709006,0.15911754060307945,0.714,0.21563362377020426,0.7228205445213883,eu_usd
2,120,98.7,0.10335015170666784,0.1467671366067088,0.310209248883226,-0.09631072357300012,0.2950155997532489,0.376,0.20650104324539328,0.49364851882852456,eu_usd
3,120,98.9,0.085627551380549,0.015494131536912285,0.4006310983737258,-0.1138368722430421,0.2784564232703088,0.478,0.21922274455874213,0.5564320810746192,eu_usd
4,120,97.1,0.24622234115992128,0.23513438433224526,0.014754244073551304,0.04927713812288022,0.424737008044381,0.02,0.21075606153250204,0.07377122036775652,eu_usd
5,120,91.6,0.21718675553600003,0.19764566983818319,0.03773882257033767,0.012499935930569013,0.40440395091590403,0.067,0.2269997972133979,0.11793382053230522,eu_usd
6,120,91.9,0.299008370756458,0.27545662893256473,0.0036454969842967255,0.10016122369099403,0.47488756009165245,0.006,0.22366780661748908,0.043534509632120466,eu_usd
7,120,89.0,0.2831801908526141,0.31757066462948813,0.006943928229395713,0.07958672785276864,0.46409426235811546,0.01,0.21547052491539603,0.043534509632120466,eu_usd
8,120,88.2,0.28425295639135684,0.2496145565664282,0.006965521541139275,0.07982355573370314,0.4657364450599465,0.006,0.22188950754004624,0.043534509632120466,eu_usd
9,120,86.0,0.1601022962314532,0.14262101534828805,0.14113829406948653,-0.05355024308509295,0.35973796465384245,0.143,0.20498309288102526,0.2940381126447636,eu_usd
10,120,83.9,0.23971408018836177,0.2529897909577054,0.02792419520892042,0.026499826269915056,0.4320670867632451,0.031,0.2228103440284175,0.11635081337050175,eu_usd
