lag,spec,var,coef,se_hac,t,p,n,r2
11,… + Δlog cert stocks rob & ara (2010-08→),oni,0.007337613550560529,0.012660657068408224,0.5795602480119193,0.5622112067106497,178,0.12749252955684875
11,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.21921971562072398,0.06677717369750606,3.2828540574922718,0.0010276185122452155,178,0.12749252955684875
11,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.00398449185402812,0.0252100172646678,-0.1580519288105543,0.8744158796420547,178,0.12749252955684875
11,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.04958588218289157,0.01857901476990857,2.6689188203458,0.007609583987034822,178,0.12749252955684875
11,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,0.0018713958517634459,0.013307733599445488,0.14062468547171877,0.8881664458361566,794,0.029844780298693196
11,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,-0.01231303468596271,0.015299785900104433,-0.8047847706077158,0.4209438914626529,794,0.029844780298693196
11,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.06573864303480005,0.06346375356014083,1.0358454920650642,0.3002742304111946,794,0.029844780298693196
12,oni + lagged Δ + month dummies,oni,-0.003924783002603164,0.008062946912641866,-0.4867678089817893,0.62642288532266,794,0.028449321548988826
12,oni + lagged Δ + month dummies,d3_lag3,0.06543086270288673,0.06300685751391254,1.0384720851764262,0.29905032475330795,794,0.028449321548988826
12,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.013470455346099867,0.01650308822115565,0.8162384618917454,0.4143637628379546,195,0.07984170365265597
12,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.1976426388004199,0.05505175850452337,3.5901239882133913,0.0003305207049951326,195,0.07984170365265597
12,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.0014287644577239604,0.025784252958365506,-0.05541228826877486,0.9558100062570092,195,0.07984170365265597
12,"oni alone, 2010-08→ sample",oni,0.01383743299909872,0.016688427948566068,0.8291633604882289,0.40701197462327954,193,0.08122884155061971
12,"oni alone, 2010-08→ sample",d3_lag3,0.18800106098169975,0.06819843141302039,2.7566772004349467,0.005839196438511949,193,0.08122884155061971
12,… + Δlog cert stocks rob & ara (2010-08→),oni,0.010898920667989875,0.014947077604182518,0.7291673300030315,0.4658993128130233,178,0.1322695316739798
12,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.21706488402580199,0.06606051786612278,3.2858489614886506,0.0010167551339671198,178,0.1322695316739798
12,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.004671413838904076,0.024950502433589965,-0.18722724527643655,0.8514824638917476,178,0.1322695316739798
