tier,arbitrage,transform,index,lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh_bartlett,q_bh_surrogate
tier1,"ICE futures premium (2021→, repo)",diff1,ONI⁻,22,60,32.7,0.27827923847582087,0.29745194570393513,0.11953273219818117,-0.07390363165994024,0.5687481091268337,0.1735,0.3627755363438481,0.43843585431039483,0.6552000000000001
tier1,"ICE futures premium (2021→, repo)",diff1,ONI⁻,23,60,32.6,0.21049005969868037,0.20271173994314598,0.24508199883276438,-0.14558781397128298,0.5182892691864784,0.3365,0.3615821904088114,0.4618853054925175,0.6552000000000001
tier1,"ICE futures premium (2021→, repo)",diff1,ONI⁻,24,60,32.6,0.16522232213011995,0.15405689762323388,0.36396688621129414,-0.1908917493437057,0.4829037660807299,0.468,0.35521520945140017,0.4953993728987059,0.6552000000000001
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-24,33,13.7,0.42001464026628144,0.3411332155287552,0.1434084112504752,-0.15084446451971525,0.780802863959777,0.259,0.5781931182002342,0.3121739018146964,0.5229807692307693
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-23,34,13.8,0.4467904468022556,0.35161980850639013,0.11414908730294071,-0.11516366737220693,0.7920999298070986,0.2095,0.5707194639766597,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-22,35,14.0,0.4649728281738019,0.3828267301880305,0.09454735913557033,-0.08657488229766923,0.7983575903722249,0.1695,0.5669790044605514,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-21,36,14.3,0.5167795645913482,0.45424121884852803,0.05445007446806782,-0.010931688669126131,0.8193392482021843,0.0965,0.5600596306382662,0.3008012649929924,0.4543636363636363
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-20,37,14.9,0.5785735869931093,0.5374036789396066,0.02294002674392348,0.09103354968176908,0.8423893681541462,0.0315,0.5493115602017008,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-19,38,15.4,0.6049412505647498,0.5670825159803905,0.013512931336721046,0.1437096074111781,0.8502616843517795,0.0175,0.5540710261922921,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-18,39,14.5,0.5579869247612639,0.5509945905501135,0.03283697643391714,0.051334651438405474,0.8362080878950633,0.0635,0.5742942966074357,0.3008012649929924,0.4445
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-17,40,13.2,0.45198771562543166,0.46892152268090836,0.11945402931750371,-0.1254102938432176,0.8006660147437471,0.221,0.5989918528795645,0.3008012649929924,0.49779545454545454
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,-16,41,12.6,0.284673836997005,0.31529883733574515,0.3638634049383547,-0.3267364431156158,0.7281094281059407,0.496,0.6143202126956492,0.52889350094659,0.7148235294117646
