tier,arbitrage,transform,index,best_lag,r,spearman,n,n_eff,p_bartlett,q_bh,p_surrogate_lag,p_max_surrogate,ci_block_lo,ci_block_hi,sur_max_q95,n_lags_sig_bartlett_05,n_lags_sig_bh_10,best_pos_lag,r_best_pos_lag,p_bartlett_best_pos,q_bh_best_pos,q_bh_global
tier1,ICO indicator premium (1960→),diff3,ONI,1,-0.1563044194653798,-0.13333698482761405,558,119.3,0.0892808090738455,0.5915929358868964,0.09,0.47,-0.28216346551862465,-0.019728815251000367,0.2546043046870946,0,0,1,-0.1563044194653798,0.0892808090738455,0.5915929358868964,0.10222993405402156
tier1,ICO indicator premium (1960→),diff3,Niño 3.4,-19,0.1715054863330712,0.12835184465263616,540,127.4,0.05334177128778195,0.5681069114236805,0.07,0.51,-0.02641350806273657,0.3210632714735166,0.25463662695284495,0,0,0,-0.16244354184455786,0.07085024162578835,0.5681069114236805,0.0886948814780617
tier1,ICO indicator premium (1960→),diff3,−SOI,-17,0.10900467526941439,0.10051532671384636,779,282.8,0.06718082416205551,0.7731418187009054,0.09,0.73,-0.01640240307510166,0.21363397133121392,0.17312666467839918,0,0,0,-0.10292144021950732,0.08261055370923964,0.7731418187009054,0.09819011204886764
tier1,ICO indicator premium (1960→),diff3,ONI⁺,-20,0.19960697468500832,0.09449902286964779,558,127.7,0.023886007930410846,0.3133983362374502,0.03,0.23,0.035114896818032926,0.3365279398711651,0.2408279741826126,5,0,4,-0.1667742567237786,0.06830994402940749,0.3133983362374502,0.08692634676617392
tier1,ICO indicator premium (1960→),diff3,ONI⁻,13,-0.11855529114693304,-0.011138781284148448,547,132.5,0.1752275067901703,0.9999267517768875,0.14,0.84,-0.2865257316950695,0.06349138650498869,0.23401931465807135,0,0,13,-0.11855529114693304,0.1752275067901703,0.9999267517768875,0.1825286529064274
tier1,ICO indicator premium (1960→),sa,ONI,15,-0.21572939782900352,-0.2011438938164699,545,65.1,0.08409115168249448,0.6228147459968318,0.11,0.38,-0.3906911157586894,-0.0199661438262138,0.34916209650478747,0,0,15,-0.21572939782900352,0.08409115168249448,0.6228147459968318,0.09935911565599605
tier1,ICO indicator premium (1960→),sa,Niño 3.4,15,-0.15746944292861614,-0.1484396797467309,525,65.7,0.20856004125555705,0.7461313891871194,0.29,0.81,-0.35822618974171533,0.05875154438393634,0.319955089368389,0,0,15,-0.15746944292861614,0.20856004125555705,0.7461313891871194,0.21137842019144296
tier1,ICO indicator premium (1960→),sa,−SOI,12,-0.1333188310539938,-0.10101626953265917,800,125.5,0.13774066570483612,0.8610804832767869,0.18,0.66,-0.28595748508436614,0.036666734826067346,0.2386854606320108,0,0,12,-0.1333188310539938,0.13774066570483612,0.8610804832767869,0.1465326230902512
tier1,ICO indicator premium (1960→),sa,ONI⁺,11,-0.17502331046351793,-0.1805101155283082,549,84.8,0.10965273579577772,0.6284277287702881,0.09,0.44,-0.3455347947040035,0.010299352494980853,0.30363615825428303,0,0,11,-0.17502331046351793,0.10965273579577772,0.6284277287702881,0.12274559977139299
tier1,ICO indicator premium (1960→),sa,ONI⁻,15,-0.20369148783872415,-0.1873649956663061,545,55.0,0.13640576978280627,0.9187288127885668,0.2,0.56,-0.36627506840119933,-0.017829129924751108,0.34212518794233776,0,0,15,-0.20369148783872415,0.13640576978280627,0.9187288127885668,0.14614903905300672
tier1,ICO indicator premium (1960→),sa_diff1,ONI,0,-0.10868999108761729,-0.0933326120279805,558,247.6,0.0878626980980548,0.5860318564568012,0.09,0.49,-0.2040193133049935,-0.007776508963967419,0.17791189866038876,0,0,0,-0.10868999108761729,0.0878626980980548,0.5860318564568012,0.1013800362669863
tier1,ICO indicator premium (1960→),sa_diff1,Niño 3.4,-20,0.1224486509766273,0.08674102577339916,540,256.1,0.05024596707272089,0.5254225689466209,0.06,0.52,-0.019636190440325572,0.22788263262358327,0.17885999481030135,0,0,0,-0.10486751775083111,0.09318525786182619,0.5254225689466209,0.0886948814780617
tier1,ICO indicator premium (1960→),sa_diff1,−SOI,-18,0.0855160505058652,0.08677301607686098,780,532.0,0.04865611714406004,0.6918414164397005,0.04,0.78,-0.003693471844473447,0.17052194267511295,0.12853567973048974,1,0,7,-0.061128432451420626,0.1549681382481003,0.6918414164397005,0.0886948814780617
tier1,ICO indicator premium (1960→),sa_diff1,ONI⁺,-19,0.13629899414712252,0.07064460568042608,558,259.1,0.028170304830050563,0.278862893860127,0.03,0.27,0.012333853475781493,0.23201063215256063,0.1750132092296558,5,0,0,-0.1227656806963318,0.052185436565900245,0.278862893860127,0.08692634676617392
tier1,ICO indicator premium (1960→),sa_diff1,ONI⁻,10,-0.08088981053739998,-0.04316009416519282,550,277.6,0.17916773441889844,0.9732673025800238,0.14,0.83,-0.1712241613751251,0.016086596508839944,0.15207597315904395,0,0,10,-0.08088981053739998,0.17916773441889844,0.9732673025800238,0.18534593215748116
tier1,ICO indicator premium (1960→),z,ONI,15,-0.21574701481357705,-0.20179771510174382,545,65.2,0.083879611629186,0.6214706307860083,0.11,0.38,-0.39046504462711923,-0.022067302297351012,0.349312460114331,0,0,15,-0.21574701481357705,0.083879611629186,0.6214706307860083,0.09935911565599605
tier1,ICO indicator premium (1960→),z,Niño 3.4,15,-0.15752468036842726,-0.14947296843986235,525,65.8,0.20805850399222003,0.7394550203116333,0.28,0.81,-0.3580464803080195,0.05895410701077694,0.32038832670511436,0,0,15,-0.15752468036842726,0.20805850399222003,0.7394550203116333,0.21137842019144296
tier1,ICO indicator premium (1960→),z,−SOI,12,-0.13501120580972265,-0.10355193962195984,800,125.6,0.13250805722350112,0.8389839154779755,0.17,0.62,-0.28636817055694297,0.03583146545102147,0.2390982502290057,0,0,12,-0.13501120580972265,0.13250805722350112,0.8389839154779755,0.14299430635629617
tier1,ICO indicator premium (1960→),z,ONI⁺,11,-0.18008299221669766,-0.18062195415486812,549,84.9,0.09938798732404464,0.6279607526522321,0.09,0.44,-0.3506284990753716,0.005004109808319899,0.30325246120077115,0,0,11,-0.18008299221669766,0.09938798732404464,0.6279607526522321,0.11209171502711826
tier1,ICO indicator premium (1960→),z,ONI⁻,16,-0.21202503608620515,-0.18665686041539292,544,54.9,0.12095842304526694,0.9604273081507033,0.18,0.54,-0.3765487121716875,-0.020884851248425422,0.3436771511967667,0,0,16,-0.21202503608620515,0.12095842304526694,0.9604273081507033,0.13243622961160614
tier1,"ICE futures premium (2021→, repo)",level,ONI,6,-0.7816841410725889,-0.7121759051035532,61,6.6,0.04591395717759106,0.4621933216728427,0.05,0.59,-0.8931598431237009,-0.36996833344865815,0.9313071709807099,3,0,6,-0.7816841410725889,0.04591395717759106,0.4621933216728427,0.08705688012320939
tier1,"ICE futures premium (2021→, repo)",level,Niño 3.4,6,-0.7447456248001662,-0.6407774748595336,61,6.9,0.0573560233558128,0.4980799109513124,0.05,0.57,-0.8818684175713455,-0.2667514091517717,0.9114367364817362,0,0,6,-0.7447456248001662,0.0573560233558128,0.4980799109513124,0.0886948814780617
tier1,"ICE futures premium (2021→, repo)",level,−SOI,4,-0.5596962234468918,-0.5394410482524082,61,11.2,0.07004702607135616,0.47836715075575126,0.1,0.62,-0.7200639262319486,-0.28605508333503715,0.8111508272426162,0,0,4,-0.5596962234468918,0.07004702607135616,0.47836715075575126,0.09935911565599605
tier1,"ICE futures premium (2021→, repo)",level,ONI⁺,8,-0.7384734588320219,-0.7044418055090349,61,7.8,0.03836009991363598,0.5771382002239241,0.05,0.64,-0.9020360983315234,-0.24854137731431564,0.9147134305537927,3,0,8,-0.7384734588320219,0.03836009991363598,0.5771382002239241,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",level,ONI⁻,1,-0.780211693384393,-0.7984263954316024,60,6.9,0.038827101555557686,0.3805800880845662,0.04,0.5,-0.921728016345922,-0.3367139581813631,0.9054841362332593,5,0,1,-0.780211693384393,0.038827101555557686,0.3805800880845662,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",diff1,ONI,-19,0.3878152251969637,0.3701979088079671,39,31.6,0.028555762361576198,0.3077265453772557,0.05,0.74,0.12937167391743512,0.5408254887049023,0.5307751749065652,5,0,16,0.37931905684041384,0.03782369307665956,0.3077265453772557,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",diff1,Niño 3.4,-20,0.505778336058335,0.43852324870159376,40,27.0,0.00636008509963526,0.17522058151602937,0.0,0.07,0.1169055949075513,0.5517288442531253,0.5100537444276028,7,0,17,0.3919359293525908,0.028625717712012166,0.2963604081743143,0.07974550955700895
tier1,"ICE futures premium (2021→, repo)",diff1,−SOI,-19,0.45868391865813657,0.3818133829635326,40,33.1,0.006568631667728919,0.17044369802470627,0.01,0.39,0.046144450642630355,0.47553878068677413,0.5210685477843638,6,0,15,0.4134352303696393,0.00695688563366148,0.17044369802470627,0.07974550955700895
tier1,"ICE futures premium (2021→, repo)",diff1,ONI⁺,-23,0.3865389176874807,0.3460462251535477,35,29.2,0.03694556627961987,0.28719774166124906,0.01,0.71,-0.23705988942858772,0.5836460415853841,0.5221016821909544,8,0,16,0.37135384815810224,0.0357503729329105,0.28719774166124906,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",diff1,ONI⁻,20,0.35982413459942664,0.35461201160006367,60,33.2,0.038553022733864184,0.4286584584513397,0.09,0.89,0.16681613721074118,0.6022290777239531,0.5199131824982659,1,0,20,0.35982413459942664,0.038553022733864184,0.4286584584513397,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",diff3,ONI,18,0.5895490550800904,0.5022073914822643,58,12.0,0.04200749769829093,0.27709935204988384,0.08,0.7,-0.09316358308888469,0.7815386170267352,0.7283485345732307,6,0,18,0.5895490550800904,0.04200749769829093,0.27709935204988384,0.08705688012320939
tier1,"ICE futures premium (2021→, repo)",diff3,Niño 3.4,-19,0.673941075046202,0.6131497767705378,39,15.1,0.004507976920457679,0.13656269707902235,0.0,0.12,0.2612431439167719,0.7555874390633636,0.7080666056799138,6,0,17,0.5851686424411573,0.04041123800620938,0.33603645122375186,0.07974550955700895
tier1,"ICE futures premium (2021→, repo)",diff3,−SOI,-19,0.5751736923078881,0.4665880945602699,38,22.1,0.004174543275960563,0.20455262052206757,0.01,0.35,0.14164396601947066,0.5917459183538062,0.6719199505944887,6,0,15,0.5139928347324083,0.024696816982290093,0.24202880642644292,0.07974550955700895
tier1,"ICE futures premium (2021→, repo)",diff3,ONI⁺,17,0.582033273192365,0.5769464112090038,58,12.8,0.03687729674859397,0.27265333985789497,0.07,0.63,0.21372825995994385,0.770190865110636,0.7164254391043872,8,0,17,0.582033273192365,0.03687729674859397,0.27265333985789497,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",diff3,ONI⁻,21,0.5581044958794867,0.5676099225276882,58,14.0,0.036488885533969784,0.43111477341263293,0.1,0.72,0.18650254538884523,0.7723713232546012,0.7210506204189098,2,0,21,0.5581044958794867,0.036488885533969784,0.43111477341263293,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",sa,ONI,6,-0.7871866030655592,-0.7160102102513333,61,6.6,0.044075409203458094,0.4703578808412807,0.05,0.59,-0.8875133565407584,-0.39960088109632524,0.9321824518662294,3,0,6,-0.7871866030655592,0.044075409203458094,0.4703578808412807,0.08705688012320939
tier1,"ICE futures premium (2021→, repo)",sa,Niño 3.4,6,-0.7536492633467168,-0.6525452919662353,61,6.9,0.05346837333323684,0.5253676319521275,0.05,0.54,-0.8756645099526513,-0.29726033079180864,0.9116148776664769,0,0,6,-0.7536492633467168,0.05346837333323684,0.5253676319521275,0.0886948814780617
tier1,"ICE futures premium (2021→, repo)",sa,−SOI,4,-0.5693924528568365,-0.5383281977181679,61,11.1,0.06494705967790293,0.4965765020066,0.08,0.6,-0.7245882354478232,-0.2935472806642373,0.8118209008766495,0,0,4,-0.5693924528568365,0.06494705967790293,0.4965765020066,0.09674220129833372
tier1,"ICE futures premium (2021→, repo)",sa,ONI⁺,8,-0.7325526479598531,-0.7221373140856188,61,7.7,0.04199671923988424,0.5612172725614816,0.05,0.65,-0.8863407727651825,-0.28560343386682013,0.9111183993137083,3,0,8,-0.7325526479598531,0.04199671923988424,0.5612172725614816,0.08705688012320939
tier1,"ICE futures premium (2021→, repo)",sa,ONI⁻,0,-0.7573090879077845,-0.7597146465086713,59,6.8,0.05268566308493128,0.36622064624282596,0.04,0.56,-0.9016352202951965,-0.17399839673051823,0.9035294685848333,0,0,0,-0.7573090879077845,0.05268566308493128,0.36622064624282596,0.0886948814780617
tier1,"ICE futures premium (2021→, repo)",sa_diff1,ONI,-7,-0.40455515277709975,-0.40742165664066277,51,20.4,0.07367441224736204,0.2697400277791151,0.13,0.71,-0.5587694099728456,-0.12882090136264943,0.5613841621392046,5,0,17,0.38021693072590096,0.043669501086531115,0.2697400277791151,0.09935911565599605
tier1,"ICE futures premium (2021→, repo)",sa_diff1,Niño 3.4,-20,0.4796060102744561,0.4337383352048498,40,26.6,0.01114566641457726,0.23110302764758547,0.01,0.22,-0.04369840668446701,0.510555500023398,0.5270666313415854,6,0,17,0.3830736385223732,0.039532281036908756,0.2929646866636499,0.08359249810932945
tier1,"ICE futures premium (2021→, repo)",sa_diff1,−SOI,-19,0.4423156626451285,0.3879261587991557,40,33.1,0.009103918627332508,0.37360698667963627,0.03,0.5,0.04084480983931015,0.4724033912511105,0.5265526265077994,5,0,15,0.36621126535508275,0.02170591475774475,0.37360698667963627,0.07974550955700895
tier1,"ICE futures premium (2021→, repo)",sa_diff1,ONI⁺,-20,0.4017081410090006,0.31074954637594776,38,30.6,0.0254334498367792,0.22712711265858115,0.01,0.67,-0.16237880752718378,0.5146857219022369,0.5476824117747175,10,0,16,0.40080304060669997,0.0279913132310996,0.22712711265858115,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",sa_diff1,ONI⁻,20,0.3775764485661909,0.3748065762975123,60,32.2,0.031857476511664595,0.4268901488790342,0.05,0.78,0.188796201174643,0.6410383251469424,0.5574964229230136,2,0,20,0.3775764485661909,0.031857476511664595,0.4268901488790342,0.08692634676617392
tier1,"ICE futures premium (2021→, repo)",z,ONI,6,-0.7816841410725889,-0.7121759051035532,61,6.6,0.04591395717759128,0.4621933216728427,0.05,0.59,-0.8931598431237006,-0.3699683334486579,0.9313071709807098,3,0,6,-0.7816841410725889,0.04591395717759128,0.4621933216728427,0.08705688012320939
tier1,"ICE futures premium (2021→, repo)",z,Niño 3.4,6,-0.7447456248001657,-0.6407774748595336,61,6.9,0.057356023355813246,0.4980799109513124,0.05,0.57,-0.8818684175713448,-0.26675140915177165,0.9114367364817361,0,0,6,-0.7447456248001657,0.057356023355813246,0.4980799109513124,0.0886948814780617
